protid,PC_Run,Entry.Name,Organism,Taxonomic.lineage,Lineage
A0A2J5I2M5,Both,A0A2J5I2M5_9EURO,Aspergillus taichungensis,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), Eurotiomycetes (class), Eurotiomycetidae (subclass), Eurotiales (order), Aspergillaceae (family), Aspergillus (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'Eurotiomycetes', 'Eurotiomycetidae', 'Eurotiales', 'Aspergillaceae', 'Aspergillus']"
A0A1U7LLW5,Both,A0A1U7LLW5_NEOID,Neolecta irregularis (strain DAH-3),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), Taphrinomycotina (subphylum), Neolectomycetes (class), Neolectales (order), Neolectaceae (family), Neolecta (genus), Neolecta irregularis (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'Taphrinomycotina', 'Neolectomycetes', 'Neolectales', 'Neolectaceae', 'Neolecta', 'Neolecta irregularis']"
A0A261XW93,Both,A0A261XW93_9FUNG,Bifiguratus adelaidae,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Endogonomycetes (class), Endogonales (order), Endogonales incertae sedis (no rank), Bifiguratus (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Mucoromycota', 'Mucoromycotina', 'Endogonomycetes', 'Endogonales', 'Endogonales incertae sedis', 'Bifiguratus']"
A0A0D7BM39,Both,A0A0D7BM39_9AGAR,Cylindrobasidium torrendii FP15055 ss-10,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Marasmiineae (suborder), Physalacriaceae (family), Cylindrobasidium (genus), Cylindrobasidium torrendii (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Agaricomycotina', 'Agaricomycetes', 'Agaricomycetidae', 'Agaricales', 'Marasmiineae', 'Physalacriaceae', 'Cylindrobasidium', 'Cylindrobasidium torrendii']"
A0A397TG30,Both,A0A397TG30_9GLOM,Glomus cerebriforme,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Glomeromycotina (subphylum), Glomeromycetes (class), Glomerales (order), Glomeraceae (family), Glomus (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Mucoromycota', 'Glomeromycotina', 'Glomeromycetes', 'Glomerales', 'Glomeraceae', 'Glomus']"
A0A1Y2G0G3,Both,A0A1Y2G0G3_9BASI,Leucosporidium creatinivorum,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Pucciniomycotina (subphylum), Microbotryomycetes (class), Leucosporidiales (order), Leucosporidiaceae (family), Leucosporidium (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Pucciniomycotina', 'Microbotryomycetes', 'Leucosporidiales', 'Leucosporidiaceae', 'Leucosporidium']"
A0A2Z6RT73,Both,A0A2Z6RT73_9GLOM,Rhizophagus clarus,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Glomeromycotina (subphylum), Glomeromycetes (class), Glomerales (order), Glomeraceae (family), Rhizophagus (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Mucoromycota', 'Glomeromycotina', 'Glomeromycetes', 'Glomerales', 'Glomeraceae', 'Rhizophagus']"
A0A1Y1ZAA3,Both,A0A1Y1ZAA3_9FUNG,Basidiobolus meristosporus CBS 931.73,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Zoopagomycota (phylum), Entomophthoromycotina (subphylum), Basidiobolomycetes (class), Basidiobolales (order), Basidiobolaceae (family), Basidiobolus (genus), Basidiobolus meristosporus (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Zoopagomycota', 'Entomophthoromycotina', 'Basidiobolomycetes', 'Basidiobolales', 'Basidiobolaceae', 'Basidiobolus', 'Basidiobolus meristosporus']"
A0A5N5QJA4,Both,A0A5N5QJA4_9AGAM,Ceratobasidium theobromae,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Cantharellales (order), Ceratobasidiaceae (family), Ceratobasidium (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Agaricomycotina', 'Agaricomycetes', 'Agaricomycetes incertae sedis', 'Cantharellales', 'Ceratobasidiaceae', 'Ceratobasidium']"
A0A397GNG9,Both,A0A397GNG9_9GLOM,Diversispora epigaea,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Glomeromycotina (subphylum), Glomeromycetes (class), Diversisporales (order), Diversisporaceae (family), Diversispora (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Mucoromycota', 'Glomeromycotina', 'Glomeromycetes', 'Diversisporales', 'Diversisporaceae', 'Diversispora']"
A0A0D0DQ56,Both,A0A0D0DQ56_9AGAM,Paxillus rubicundulus Ve08.2h10,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Boletales (order), Paxilineae (suborder), Paxillaceae (family), Paxillus (genus), Paxillus rubicundulus (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Agaricomycotina', 'Agaricomycetes', 'Agaricomycetidae', 'Boletales', 'Paxilineae', 'Paxillaceae', 'Paxillus', 'Paxillus rubicundulus']"
A0A6H0XJQ4,Both,A0A6H0XJQ4_9PEZI,Peltaster fructicola,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (no rank), Pezizomycotina (subphylum), leotiomyceta (no rank), dothideomyceta (no rank), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Peltaster (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Ascomycota', 'saccharomyceta', 'Pezizomycotina', 'leotiomyceta', 'dothideomyceta', 'Dothideomycetes', 'Dothideomycetes incertae sedis', 'Peltaster']"
A0A4V1IXX9,Both,A0A4V1IXX9_9FUNG,Piptocephalis cylindrospora,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Zoopagomycota (phylum), Zoopagomycotina (subphylum), Zoopagomycetes (class), Zoopagales (order), Piptocephalidaceae (family), Piptocephalis (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Zoopagomycota', 'Zoopagomycotina', 'Zoopagomycetes', 'Zoopagales', 'Piptocephalidaceae', 'Piptocephalis']"
A0A1Y2CQY7,Both,A0A1Y2CQY7_9FUNG,Rhizoclosmatium globosum,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Chytridiales (order), Chytriomycetaceae (family), Rhizoclosmatium (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Chytridiomycota', 'Chytridiomycota incertae sedis', 'Chytridiomycetes', 'Chytridiales', 'Chytriomycetaceae', 'Rhizoclosmatium']"
A0A507F8Q6,Both,A0A507F8Q6_9FUNG,Spizellomyces sp. 'palustris',"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Chytridiomycetes (class), Spizellomycetales (order), Spizellomycetaceae (family), Spizellomyces (genus), unclassified Spizellomyces (no rank)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Chytridiomycota', 'Chytridiomycota incertae sedis', 'Chytridiomycetes', 'Spizellomycetales', 'Spizellomycetaceae', 'Spizellomyces', 'unclassified Spizellomyces']"
A0A4P9XX40,Both,A0A4P9XX40_9FUNG,Thamnocephalis sphaerospora,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Zoopagomycota (phylum), Zoopagomycotina (subphylum), Zoopagomycetes (class), Zoopagales (order), Sigmoideomycetaceae (family), Thamnocephalis (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Zoopagomycota', 'Zoopagomycotina', 'Zoopagomycetes', 'Zoopagales', 'Sigmoideomycetaceae', 'Thamnocephalis']"
A0A163IQM7,Both,A0A163IQM7_ABSGL,Absidia glauca (Pin mould),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Cunninghamellaceae (family), Absidia (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Mucoromycota', 'Mucoromycotina', 'Mucoromycetes', 'Mucorales', 'Cunninghamellaceae', 'Absidia']"
A0A1X2IHP9,Both,A0A1X2IHP9_9FUNG,Absidia repens,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Cunninghamellaceae (family), Absidia (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Mucoromycota', 'Mucoromycotina', 'Mucoromycetes', 'Mucorales', 'Cunninghamellaceae', 'Absidia']"
A0A0P1BCG6,Both,A0A0P1BCG6_9BASI,Ceraceosorus bombacis,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Exobasidiomycetes (class), Ceraceosorales (order), Ceraceosoraceae (family), Ceraceosorus (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Ustilaginomycotina', 'Exobasidiomycetes', 'Ceraceosorales', 'Ceraceosoraceae', 'Ceraceosorus']"
A0A0D0TUG6,Both,A0A0D0TUG6_CRYGA,Cryptococcus gattii CA1280,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Cryptococcaceae (family), Cryptococcus (genus), Cryptococcus gattii species complex (no rank), Cryptococcus gattii (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Agaricomycotina', 'Tremellomycetes', 'Tremellales', 'Cryptococcaceae', 'Cryptococcus', 'Cryptococcus gattii species complex', 'Cryptococcus gattii']"
A0A4P9ZML4,Both,A0A4P9ZML4_9FUNG,Dimargaris cristalligena,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Zoopagomycota (phylum), Kickxellomycotina (subphylum), Dimargaritomycetes (class), Dimargaritales (order), Dimargaritaceae (family), Dimargaris (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Zoopagomycota', 'Kickxellomycotina', 'Dimargaritomycetes', 'Dimargaritales', 'Dimargaritaceae', 'Dimargaris']"
A0A139A9P3,Both,A0A139A9P3_GONPJ,Gonapodya prolifera (strain JEL478) (Monoblepharis prolifera),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Chytridiomycota (phylum), Chytridiomycota incertae sedis (no rank), Monoblepharidomycetes (class), Monoblepharidales (order), Gonapodyaceae (family), Gonapodya (genus), Gonapodya prolifera (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Chytridiomycota', 'Chytridiomycota incertae sedis', 'Monoblepharidomycetes', 'Monoblepharidales', 'Gonapodyaceae', 'Gonapodya', 'Gonapodya prolifera']"
A0A1X2GBW2,Both,A0A1X2GBW2_9FUNG,Hesseltinella vesiculosa,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Cunninghamellaceae (family), Hesseltinella (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Mucoromycota', 'Mucoromycotina', 'Mucoromycetes', 'Mucorales', 'Cunninghamellaceae', 'Hesseltinella']"
A0A077R0R3,Both,A0A077R0R3_9BASI,Melanopsichium pennsylvanicum 4,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Melanopsichium (genus), Melanopsichium pennsylvanicum (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Ustilaginomycotina', 'Ustilaginomycetes', 'Ustilaginales', 'Ustilaginaceae', 'Melanopsichium', 'Melanopsichium pennsylvanicum']"
W3VPW7,Both,W3VPW7_MOEAP,Moesziomyces aphidis (Pseudozyma aphidis),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Moesziomyces (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Ustilaginomycotina', 'Ustilaginomycetes', 'Ustilaginales', 'Ustilaginaceae', 'Moesziomyces']"
A0A1Y2BCP3,Both,A0A1Y2BCP3_9TREE,Naematelia encephala,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Tremellomycetes (class), Tremellales (order), Naemateliaceae (family), Naematelia (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Agaricomycotina', 'Tremellomycetes', 'Tremellales', 'Naemateliaceae', 'Naematelia']"
A0A0B7MQG9,Both,A0A0B7MQG9_9FUNG,Parasitella parasitica,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Mucorineae (suborder), Mucoraceae (family), Parasitella (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Fungi incertae sedis', 'Mucoromycota', 'Mucoromycotina', 'Mucoromycetes', 'Mucorales', 'Mucorineae', 'Mucoraceae', 'Parasitella']"
A0A0C3PVN5,Both,A0A0C3PVN5_PHLG1,Phlebiopsis gigantea (strain 11061_1 CR5-6) (White-rot fungus) (Peniophora gigantea),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Polyporales (order), Phanerochaetaceae (family), Phlebiopsis (genus), Phlebiopsis gigantea (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Agaricomycotina', 'Agaricomycetes', 'Agaricomycetes incertae sedis', 'Polyporales', 'Phanerochaetaceae', 'Phlebiopsis', 'Phlebiopsis gigantea']"
M9LZQ1,Both,M9LZQ1_PSEA3,Pseudozyma antarctica (strain T-34) (Yeast) (Candida antarctica),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Moesziomyces (genus), Pseudozyma antarctica (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Ustilaginomycotina', 'Ustilaginomycetes', 'Ustilaginales', 'Ustilaginaceae', 'Moesziomyces', 'Pseudozyma antarctica']"
A0A5C3FJR6,Both,A0A5C3FJR6_PSEA2,Pseudozyma antarctica (Yeast) (Candida antarctica),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Moesziomyces (genus)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Ustilaginomycotina', 'Ustilaginomycetes', 'Ustilaginales', 'Ustilaginaceae', 'Moesziomyces']"
E6ZX53,Both,E6ZX53_SPORE,Sporisorium reilianum (strain SRZ2) (Maize head smut fungus),"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Sporisorium (genus), Sporisorium reilianum (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Ustilaginomycotina', 'Ustilaginomycetes', 'Ustilaginales', 'Ustilaginaceae', 'Sporisorium', 'Sporisorium reilianum']"
A0A2N8UAG0,Both,A0A2N8UAG0_9BASI,Sporisorium reilianum f. sp. reilianum,"cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (no rank), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Ustilaginomycotina (subphylum), Ustilaginomycetes (class), Ustilaginales (order), Ustilaginaceae (family), Sporisorium (genus), Sporisorium reilianum (species)","['cellular organisms', 'Eukaryota', 'Opisthokonta', 'Fungi', 'Dikarya', 'Basidiomycota', 'Ustilaginomycotina', 'Ustilaginomycetes', 'Ustilaginales', 'Ustilaginaceae', 'Sporisorium', 'Sporisorium reilianum']"
