"","obj_id","species","speciesMatched","uuid","ifungorum_number","acid_phosphatase","acidPhosphatase_count","alpha_glucosidase","alphaGlucosidase15_count","alphaGlucosidase31_count","alphaMannanase76_count","aminoAcidPermease_count","ammoniumTransporter_count","amylase88_count","ascoma_development","ascoma_type","ascus_dehiscence","auxinResponsivePromoter_count","beta_glucosidase","beta_glucuronidase","beta_xylosidase","betaGlucanSynthase_count","betaGlucosidase1_count","betaXylosidase43_count","blueChannel_mean","blueChannel_sd","cellobiohydrolase","cellobiohydrolase6_count","cellobiohydrolase7_count","chitinase_count","chitosanase8_count","Cohens_d_Cellulose","Cohens_d_Glucose","Cohens_d_Lignin","Cohens_d_Tannin","Cohens_d_Xylan","coldShockProtein_count","colour_mean","confidence_fg","crystalineCellulaseAA9_count","culture_media","culture_notes","dsDNA","elevation","em_expl","em_text","endoglucanase12_count","endoglucanase9_count","extension_rate","fruiting_body_size","fungalLigninPeroxidase_count","Genus","glucosidase81_count","glycopeptidase85_count","glycoproteinSynthesis92_count","greenChannel_mean","greenChannel_sd","growth_form_fg","guild_fg","heatShockProtein_count","higher_clade","invertase32_count","latitude","leucine_aminopeptidase","longitude","map","mat","melanin_content","melanin_count","n_acetyl_glucosaminidase","nitrateTransporter_count","notes_fg","peroxidase","phenol_oxidase","phosphateTransporter_count","redChannel_mean","redChannel_sd","RNAHelicase_count","RNApolymerase_count","source_funguild_fg","spore_length","spore_size","spore_width","sporocarp_chitin","sporocarp_N","sporocarp_protein","sporocarp_resp","sterol_type","studyName","substrate","taxonomic_level_fg","tissue_c","tissue_cn","tissue_cp","tissue_n","tissue_np","tissue_p","total_genes","trait_fg","trehalase_count","trophic_mode_fg"
"11","Maynard_etal_2017_11","Asterostroma_muscicola","Asterostroma muscicola","1cb17eca-36b9-11d5-9548-00d0592d548c",199608,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.67,NA,NA,NA,NA,NA,NA,NA,9.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,"Asterostroma",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,18.32047,0,-65.816889,NA,NA,NA,NA,8,NA,NA,0.54,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Maynard_etal_2017_12","Armillaria_sinapina","Armillaria sinapina","26af7153-e273-4821-8b6e-a6ac361bb6bf",134700,60.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.33,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probable",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,"Armillaria",NA,NA,NA,NA,NA,"Agaricoid","Plant Pathogen",NA,"Basidiomycota",NA,46.517665,0,-86.410071,NA,NA,NA,NA,86,NA,"Common name - honey mushroom",0.97,5.91,NA,NA,NA,NA,NA,"Volk TJ, Burdsall HH. 1993. McIlvainea 11:4-11",NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,20,NA,NA,NA,NA,NA,NA,NA,"NULL",NA,"Pathotroph"
"13","Maynard_etal_2017_13","Armillaria_tabescens","Desarmillaria tabescens","1af4cbf9-9239-499d-81d1-5ae852fe7ee7",819125,114.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,24.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,"Desarmillaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.022359,3.33,-80.648965,NA,NA,NA,NA,148,NA,NA,0.81,12.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Maynard_etal_2017_14","Armillaria_tabescens","Desarmillaria tabescens","1af4cbf9-9239-499d-81d1-5ae852fe7ee7",819125,59.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.33,NA,NA,NA,NA,NA,NA,NA,14.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,"Desarmillaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.946494,1.33,-90.126196,NA,NA,NA,NA,64,NA,NA,4.21,10.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Maynard_etal_2017_15","Earliella_scabrosa","Earliella scabrosa","cf0ad603-db00-49f1-8d31-c0eb71f59c36",105299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24,NA,NA,"Earliella",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,18.298306,NA,-65.777922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Maynard_etal_2017_16","Fomes_fomentarius","Fomes fomentarius","e6c088c3-b354-11d5-bebb-00508bca8de8",194860,104.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,10.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.71,NA,NA,"Fomes",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,43.227069,0.67,-89.723847,NA,NA,NA,NA,56,NA,NA,2.51,7.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Maynard_etal_2017_17","Hyphodontia_crustosa","Basidioradulum crustosum","1cb18e2f-36b9-11d5-9548-00d0592d548c",521705,55.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,12.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,NA,NA,"Basidioradulum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.734518,2.67,-146.691177,NA,NA,NA,NA,28,NA,NA,0.13,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Maynard_etal_2017_18","Hyphoderma_setigerum","Hyphoderma setigerum","1cb18e28-36b9-11d5-9548-00d0592d548c",298779,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11,NA,NA,"Hyphoderma",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,43.557132,2,-89.641414,NA,NA,NA,NA,62,NA,NA,1.57,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Maynard_etal_2017_19","Hyphoderma_setigerum","Hyphoderma setigerum","1cb18e28-36b9-11d5-9548-00d0592d548c",298779,25.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.67,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,"Hyphoderma",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,18.181083,1.33,-76.725883,NA,NA,NA,NA,19.33,NA,NA,1.23,5.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Maynard_etal_2017_20","Laetiporus_caribensis","Laetiporus caribensis","179e4e53-3834-456b-bc9e-76aaebff7401",563162,15.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.33,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77,NA,NA,"Laetiporus",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,16.256538,2,-61.784048,NA,NA,NA,NA,150.67,NA,NA,0,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Maynard_etal_2017_21","Laetiporus_conifericola","Laetiporus conifericola","2cdfc38a-aca1-4097-9347-ef8c71e072e2",372852,310.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.33,NA,NA,NA,NA,NA,NA,NA,8.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16,NA,NA,"Laetiporus",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,49.39377,10,-123.190928,NA,NA,NA,NA,84,NA,NA,0.05,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Maynard_etal_2017_22","Lentinus_crinitus","Lentinus crinitus","006acf41-7317-4879-8fd1-c9c3049e6f08",262317,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38,NA,NA,"Lentinus",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,18.298306,0.67,-65.777922,NA,NA,NA,NA,22,NA,NA,1.07,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Maynard_etal_2017_23","Laetiporus_gilbertsonii","Laetiporus gilbertsonii","0988db4e-e3fb-4074-8e32-fb28075570b2",372853,64.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14,NA,NA,"Laetiporus",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,36.986923,2,-122.042341,NA,NA,NA,NA,116,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Maynard_etal_2017_24","Laetiporus_huroniensis","Laetiporus huroniensis","92b0d130-8213-44ff-96b6-4c9074152085",372855,141.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,8.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39,NA,NA,"Laetiporus",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,46.824261,3.33,-87.74369,NA,NA,NA,NA,56.67,NA,NA,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Maynard_etal_2017_25","Mycoacia_meridionalis","Mycoacia meridionalis","f062867c-eef4-4bf1-bd01-3c777186a063",112454,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.67,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,"Mycoacia",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,18.181083,0,-76.725883,NA,NA,NA,NA,17.33,NA,NA,0,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Maynard_etal_2017_26","Merulius_tremellosus","Phlebia tremellosa","1cb19358-36b9-11d5-9548-00d0592d548c",106356,73.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.62,NA,NA,"Phlebia",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,43.086646,0,-89.42099,NA,NA,NA,NA,20.67,NA,NA,0,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Maynard_etal_2017_27","Merulius_tremellosus","Phlebia tremellosa","1cb19358-36b9-11d5-9548-00d0592d548c",106356,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,NA,NA,NA,NA,NA,NA,NA,8.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62,NA,NA,"Phlebia",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,16.958087,0,-88.980764,NA,NA,NA,NA,19.33,NA,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Maynard_etal_2017_28","Porogramme_albocincta","Porogramme albocincta","98a2375e-b3ac-4437-9472-5cd9a57ed7a4",803222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.28,NA,NA,"Porogramme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.298306,NA,-65.777922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Maynard_etal_2017_29","Phlebiopsis_flavidoalba","Phlebiopsis flavidoalba","6571da52-49fa-4059-ab13-f3874fcbf492",132986,13.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.67,NA,NA,NA,NA,NA,NA,NA,8.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04,NA,NA,"Phlebiopsis",NA,NA,NA,NA,NA,NA,NA,NA,"Basidiomycota",NA,37.530421,1.33,-88.432503,NA,NA,NA,NA,13.33,NA,NA,0,7.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maynard_etal_2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
