,Organism_uniprot,n_prot,species_name,kingdom,phylum,class,order,family,genus,DFA
43,Aspergillus avenaceus,10924,Aspergillus avenaceus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
44,Aspergillus awamori (Black koji mold),10648,Aspergillus awamori ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
45,Aspergillus bertholletiae,12575,Aspergillus bertholletiae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
46,Aspergillus bombycis,11858,Aspergillus bombycis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
47,Aspergillus brasiliensis (strain CBS 101740 / IMI 381727 / IBT 21946),12541,Aspergillus brasiliensis ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
48,Aspergillus caelatus,13571,Aspergillus caelatus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
49,Aspergillus calidoustus,15037,Aspergillus calidoustus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
50,Aspergillus campestris (strain IBT 28561),9327,Aspergillus campestris ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
51,Aspergillus candidus,9331,Aspergillus candidus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
52,Aspergillus carbonarius (strain ITEM 5010),10715,Aspergillus carbonarius ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
53,Aspergillus chevalieri (Eurotium chevalieri),9994,Aspergillus chevalieri ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
54,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),8832,Aspergillus clavatus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
55,Aspergillus coremiiformis,8761,Aspergillus coremiiformis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
56,Aspergillus cristatus (Chinese Fuzhuan brick tea-fermentation fungus) (Eurotium cristatum),9814,Aspergillus cristatus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
57,Aspergillus ellipticus CBS 707.79,12464,Aspergillus ellipticus CBS 707.79,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
58,Aspergillus eucalypticola (strain CBS 122712 / IBT 29274),11461,Aspergillus eucalypticola ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
59,Aspergillus flavus,31013,Aspergillus flavus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
60,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),19456,Aspergillus flavus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
61,Aspergillus flavus (strain ATCC MYA-384 / AF70),12783,Aspergillus flavus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
62,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata),9392,Aspergillus fumigatus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
63,Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) (Neosartorya fumigata),9622,Aspergillus fumigatus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
64,Aspergillus fumigatus Z5,9180,Aspergillus fumigatus Z5,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
65,Aspergillus glaucus CBS 516.65,10903,Aspergillus glaucus CBS 516.65,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
66,Aspergillus heteromorphus CBS 117.55,10467,Aspergillus heteromorphus CBS 117.55,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
67,Aspergillus homomorphus (strain CBS 101889),10961,Aspergillus homomorphus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
68,Aspergillus ibericus CBS 121593,11292,Aspergillus ibericus CBS 121593,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
69,Aspergillus indologenus CBS 114.80,11739,Aspergillus indologenus CBS 114.80,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
70,Aspergillus kawachii (strain NBRC 4308) (White koji mold) (Aspergillus awamori var. kawachi),11094,Aspergillus kawachii ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
71,Aspergillus kawachii (White koji mold) (Aspergillus awamori var. kawachi),21605,Aspergillus kawachii ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
72,Aspergillus lacticoffeatus (strain CBS 101883),12634,Aspergillus lacticoffeatus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
73,Aspergillus leporis,12359,Aspergillus leporis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
74,Aspergillus luchuensis (strain CBS 106.47),13031,Aspergillus luchuensis ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
75,Aspergillus minisclerotigenes,13066,Aspergillus minisclerotigenes,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
76,Aspergillus mulundensis,11152,Aspergillus mulundensis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
77,Aspergillus neoniger (strain CBS 115656),11506,Aspergillus neoniger ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
78,Aspergillus niger,22534,Aspergillus niger,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
79,Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7),10565,Aspergillus niger ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
80,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513),13590,Aspergillus niger ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
81,Aspergillus niger ATCC 13496,11483,Aspergillus niger ATCC 13496,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
82,Aspergillus nomiae NRRL 13137,11474,Aspergillus nomiae NRRL 13137,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
83,Aspergillus novofumigatus (strain IBT 16806),11132,Aspergillus novofumigatus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
84,Aspergillus novoparasiticus,13815,Aspergillus novoparasiticus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
85,Aspergillus ochraceoroseus,7519,Aspergillus ochraceoroseus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
86,Aspergillus ochraceoroseus IBT 24754,8528,Aspergillus ochraceoroseus IBT 24754,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
87,Aspergillus oryzae (strain 3.042) (Yellow koji mold),11079,Aspergillus oryzae ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
88,Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold),11793,Aspergillus oryzae ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
89,Aspergillus oryzae (Yellow koji mold),11366,Aspergillus oryzae ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
90,Aspergillus parasiticus,13605,Aspergillus parasiticus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
91,Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1),8346,Aspergillus parasiticus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
92,Aspergillus phoenicis ATCC 13157,11232,Aspergillus phoenicis ATCC 13157,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
93,Aspergillus pseudocaelatus,13514,Aspergillus pseudocaelatus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
94,Aspergillus pseudonomiae,18589,Aspergillus pseudonomiae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
95,Aspergillus pseudotamarii,13056,Aspergillus pseudotamarii,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
96,Aspergillus puulaauensis,13240,Aspergillus puulaauensis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
97,Aspergillus rambellii,7407,Aspergillus rambellii,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
98,Aspergillus ruber (strain CBS 135680),9736,Aspergillus ruber ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
99,Aspergillus saccharolyticus JOP 1030-1,9694,Aspergillus saccharolyticus JOP 1030-1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
100,Aspergillus sclerotialis,11028,Aspergillus sclerotialis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
101,Aspergillus sclerotiicarbonarius (strain CBS 121057 / IBT 28362),12126,Aspergillus sclerotiicarbonarius ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
102,Aspergillus sclerotioniger CBS 115572,11887,Aspergillus sclerotioniger CBS 115572,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
103,Aspergillus sergii,13325,Aspergillus sergii,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
104,Aspergillus sp. HF37,8646,Aspergillus sp. HF37,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
105,Aspergillus steynii IBT 23096,12525,Aspergillus steynii IBT 23096,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
106,Aspergillus sydowii CBS 593.65,12978,Aspergillus sydowii CBS 593.65,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
107,Aspergillus taichungensis,9352,Aspergillus taichungensis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
108,Aspergillus tamarii,13030,Aspergillus tamarii,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
109,Aspergillus tanneri,20111,Aspergillus tanneri,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
110,Aspergillus terreus (strain NIH 2624 / FGSC A1156),10061,Aspergillus terreus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
111,Aspergillus thermomutatus,9319,Aspergillus thermomutatus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
112,Aspergillus transmontanensis,13823,Aspergillus transmontanensis,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
113,Aspergillus tubingensis (strain CBS 134.48),11871,Aspergillus tubingensis ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
114,Aspergillus turcosus,13241,Aspergillus turcosus,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Yes
115,Aspergillus uvarum CBS 121591,11606,Aspergillus uvarum CBS 121591,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
116,Aspergillus vadensis (strain CBS 113365 / IMI 142717 / IBT 24658),11704,Aspergillus vadensis ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
117,Aspergillus versicolor CBS 583.65,12776,Aspergillus versicolor CBS 583.65,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
118,Aspergillus violaceofuscus (strain CBS 115571),11646,Aspergillus violaceofuscus ,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
119,Aspergillus welwitschiae,13352,Aspergillus welwitschiae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
120,Aspergillus wentii DTO 134E9,12000,Aspergillus wentii DTO 134E9,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,No
121,Aulographum hederae CBS 113979,11729,Aulographum hederae CBS 113979,Fungi,Ascomycota,Dothideomycetes,Aulographales,Aulographaceae,Aulographum,Yes
122,Aureobasidium melanogenum CBS 110374,10334,Aureobasidium melanogenum CBS 110374,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,No
123,Aureobasidium namibiae CBS 147.97,10003,Aureobasidium namibiae CBS 147.97,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Yes
124,Aureobasidium pullulans (Black yeast) (Pullularia pullulans),281168,Aureobasidium pullulans ,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Yes
125,Aureobasidium pullulans EXF-150,11530,Aureobasidium pullulans EXF-150,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,No
126,Aureobasidium subglaciale (strain EXF-2481) (Aureobasidium pullulans var. subglaciale),10488,Aureobasidium subglaciale ,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Yes
127,Auriculariopsis ampla,15066,Auriculariopsis ampla,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Auriculariopsis,Yes
128,Babjeviella inositovora NRRL Y-12698,6230,Babjeviella inositovora NRRL Y-12698,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,Babjeviella,No
129,Basidiobolus meristosporus CBS 931.73,15202,Basidiobolus meristosporus CBS 931.73,Fungi,Zoopagomycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,Yes
130,Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus),8329,Batrachochytrium dendrobatidis ,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,NA,Batrachochytrium,Yes
131,Batrachochytrium dendrobatidis (strain JEL423),9126,Batrachochytrium dendrobatidis ,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,NA,Batrachochytrium,No
132,Batrachochytrium salamandrivorans,11433,Batrachochytrium salamandrivorans,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,NA,Batrachochytrium,Yes
133,Baudoinia panamericana (strain UAMH 10762) (Angels' share fungus) (Baudoinia compniacensis (strain UAMH 10762)),10232,Baudoinia panamericana ,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Baudoinia,Yes
134,Beauveria bassiana (strain ARSEF 2860) (White muscardine disease fungus) (Tritirachium shiotae),9979,Beauveria bassiana ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,No
135,Beauveria bassiana (White muscardine disease fungus) (Tritirachium shiotae),20600,Beauveria bassiana ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,No
136,Beauveria bassiana D1-5,11395,Beauveria bassiana D1-5,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,No
137,Beauveria brongniartii RCEF 3172,9259,Beauveria brongniartii RCEF 3172,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,No
138,Bimuria novae-zelandiae CBS 107.79,16209,Bimuria novae-zelandiae CBS 107.79,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Bimuria,Yes
139,Bionectria ochroleuca (Gliocladium roseum),13324,Bionectria ochroleuca ,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,No
140,Bipolaris oryzae ATCC 44560,11655,Bipolaris oryzae ATCC 44560,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Yes
141,Bipolaris victoriae (strain FI3) (Victoria blight of oats agent) (Cochliobolus victoriae),12512,Bipolaris victoriae ,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,No
142,Blastomyces dermatitidis ATCC 26199,9565,Blastomyces dermatitidis ATCC 26199,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Blastomyces,No
143,Blastomyces gilchristii (strain SLH14081) (Blastomyces dermatitidis),9974,Blastomyces gilchristii ,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Blastomyces,No
144,Blastomyces parvus,7892,Blastomyces parvus,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Blastomyces,No
145,Blastomyces percursus,10003,Blastomyces percursus,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Blastomyces,No
146,Blastomyces silverae,8307,Blastomyces silverae,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Blastomyces,No
147,Blumeria graminis f. sp. hordei (strain DH14) (Barley powdery mildew) (Oidium monilioides f. sp. hordei),6245,Blumeria graminis f. sp. hordei ,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria,Yes
148,Blumeria graminis f. sp. tritici 96224,7783,Blumeria graminis f. sp. tritici 96224,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria,No
149,Blyttiomyces helicus,11942,Blyttiomyces helicus,Fungi,Chytridiomycota,Chytridiomycetes,NA,NA,Blyttiomyces,Yes
150,Bondarzewia mesenterica,8789,Bondarzewia mesenterica,Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Bondarzewia,Yes
151,Botryobasidium botryosum FD-172 SS1,16140,Botryobasidium botryosum FD-172 SS1,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,Yes
152,Botryosphaeria parva (strain UCR-NP2) (Grapevine canker fungus) (Neofusicoccum parvum),10168,Botryosphaeria parva ,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Neofusicoccum,Yes
153,Botryotinia calthae,11920,Botryotinia calthae,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botryotinia,No
154,Botryotinia convoluta,12047,Botryotinia convoluta,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botryotinia,No
